అ	a
అకట్టుకుంటున్నారు	a k a tx tx u k u q tx u n n aa r u
అకడికి	a k a dx i k i
అకనుంచా	a k a n u q c aa
అకర్చణీయంగా	a k a r c a nx ii y a q g aa
అకస్మా	a k a s m aa
అకస్మాత్తుగా	a k a s m aa t t u g aa
అకస్మిక	a k a s m i k a
అకాడమీ	a k aa dx a m ii
అకాడమీని	a k aa dx a m ii n i
అకాడమీలో	a k aa dx a m ii l oo
అకాల	a k aa l a
అకుంఠిత	a k u q txh i t a
అకేట్టుసుకుంటుంది	a k ee tx tx u s u k u q tx u q d i
అకౌంట్లు	a k au q tx l u
అక్క	a k k a
అక్కకి	a k k a k i
అక్కకు	a k k a k u
అక్కగాని	a k k a g aa n i
అక్కచెల్లెళ్ళు	a k k a c e l l e lx lx u
అక్కచేల్లి	a k k a c ee l l i
అక్కచేల్లిలు	a k k a c ee l l i l u
అక్కడ	a k k a dx a
అక్కడకి	a k k a dx a k i
అక్కడకు	a k k a dx a k u
అక్కడకెల్లాక	a k k a dx a k e l l aa k a
అక్కడక్కడ	a k k a dx a k k a dx a
అక్కడక్కడా	a k k a dx a k k a dx aa
అక్కడనుంచి	a k k a dx a n u q c i
అక్కడనే	a k k a dx a n ee
అక్కడా	a k k a dx aa
అక్కడి	a k k a dx i
అక్కడికక్కడే	a k k a dx i k a k k a dx ee
అక్కడికి	a k k a dx i k i
అక్కడికెళ్లాక	a k k a dx i k e lx l aa k a
అక్కడికెళ్ళి	a k k a dx i k e lx lx i
అక్కడికే	a k k a dx i k ee
అక్కడిక్కడే	a k k a dx i k k a dx ee
అక్కడితో	a k k a dx i t oo
అక్కడినుంచి	a k k a dx i n u q c i
అక్కడున్న	a k k a dx u n n a
అక్కడున్నారు	a k k a dx u n n aa r u
అక్కడుంటారు	a k k a dx u q tx aa r u
అక్కడుండే	a k k a dx u q dx ee
అక్కడెలా	a k k a dx e l aa
అక్కడే	a k k a dx ee
అక్కడేనా	a k k a dx ee n aa
అక్కడేమో	a k k a dx ee m oo
అక్కడో	a k k a dx oo
అక్కడోచ్చే	a k k a dx oo c c ee
అక్కడ్నే	a k k a dx n ee
అక్కది	a k k a d i
అక్కని	a k k a n i
అక్కను	a k k a n u
అక్కనే	a k k a n ee
అక్కన్న	a k k a n n a
అక్కమహాదేవి	a k k a m a h aa d ee w i
అక్కర	a k k a r a
అక్కర్లేదు	a k k a r l ee d u
అక్కల	a k k a l a
అక్కలపై	a k k a l a p ai
అక్కలు	a k k a l u
అక్కలేవరు	a k k a l ee w a r u
అక్కల్	a k k a l
అక్కవ	a k k a w a
అక్కసు	a k k a s u
అక్కా	a k k aa
అక్కాచెల్లెళ్లు	a k k aa c e l l e lx l u
అక్కాచెల్లెళ్ళకు	a k k aa c e l l e lx lx a k u
అక్కాబావ	a k k aa b aa w a
అక్కినేని	a k k i n ee n i
అక్కున	a k k u n a
అక్కుంది	a k k u q d i
అక్కొచ్చిందా	a k k o c c i q d aa
అక్కోలు	a k k oo l u
అక్కంటే	a k k a q tx ee
అక్టోబరు	a k tx oo b a r u
అక్టోబర్	a k tx oo b a r
అక్తర్	a k t a r
అక్బరుద్దీన్	a k b a r u d d ii n
అక్బర్	a k b a r
అక్మల్	a k m a l
అక్రమ	a k r a m a
అక్రమనిర్మాణం	a k r a m a n i r m aa nx a q
అక్రమార్కులను	a k r a m aa r k u l a n u
అక్రమార్కులు	a k r a m aa r k u l u
అక్రమార్జన	a k r a m aa r j a n a
అక్రమాల	a k r a m aa l a
అక్రమాలకు	a k r a m aa l a k u
అక్రమాలను	a k r a m aa l a n u
అక్రమాలపై	a k r a m aa l a p ai
అక్రమాలు	a k r a m aa l u
అక్రమాలేనని	a k r a m aa l ee n a n i
అక్రమాస్తులు	a k r a m aa s t u l u
అక్రమాస్తులండి	a k r a m aa s t u l a q dx i
అక్రమించుకునే	a k r a m i q c u k u n ee
అక్రమంగా	a k r a m a q g aa
అక్రమ్	a k r a m
అక్వా	a k w aa
అక్షనీర్	a k sx a n ii r
అక్షయ	a k sx a y a
అక్షయపాత్ర	a k sx a y a p aa t r a
అక్షయ్	a k sx a y
అక్షర	a k sx a r a
అక్షరాన్ని	a k sx a r aa n n i
అక్షరాల	a k sx a r aa l a
అక్షరాలతో	a k sx a r aa l a t oo
అక్షరాలా	a k sx a r aa l aa
అక్షరాస్యత	a k sx a r aa s y a t a
అక్షరాస్యతలో	a k sx a r aa s y a t a l oo
అక్షిత్	a k sx i t
అక్షింతలు	a k sx i q t a l u
అఖిల	a kh i l a
అఖిలతో	a kh i l a t oo
అఖిలపక్ష	a kh i l a p a k sx a
అఖిలపక్షం	a kh i l a p a k sx a q
అఖిలప్రియ	a kh i l a p r i y a
అఖిలప్రియకు	a kh i l a p r i y a k u
అఖిలప్రియతండ్రికి	a kh i l a p r i y a t a q dx r i k i
అఖిలభారత	a kh i l a bh aa r a t a
అఖిలేష్	a kh i l ee sx
అఖిల్	a kh i l
అఖండ	a kh a q dx a
అగమేఘాల	a g a m ee gh aa l a
అగమ్య	a g a m y a
అగమ్యగోచనంగా	a g a m y a g oo c a n a q g aa
అగర్వాల్	a g a r w aa l
అగౌరపరచడమేనని	a g au r a p a r a c a dx a m ee n a n i
అగ్గార్వాల్	a g g aa r w aa l
అగ్గిపుల్ల	a g g i p u l l a
అగ్ని	a g n i
అగ్నికి	a g n i k i
అగ్నిగుండమైంది	a g n i g u q dx a m ai q d i
అగ్నిగుండంలో	a g n i g u q dx a q l oo
అగ్నిగోళాలు	a g n i g oo lx aa l u
అగ్నిపర్వత	a g n i p a r w a t a
అగ్నిప్రమాద	a g n i p r a m aa d a
అగ్నిప్రమాదం	a g n i p r a m aa d a q
అగ్నిప్రమాదంఅనంతపురం	a g n i p r a m aa d a q a n a q t a p u r a q
అగ్నిప్రమాదంలో	a g n i p r a m aa d a q l oo
అగ్నిమాపక	a g n i m aa p a k a
అగ్నిమాపకశాఖ	a g n i m aa p a k a sh aa kh a
అగ్ర	a g r a
అగ్రకుల	a g r a k u l a
అగ్రజ్వలలు	a g r a j w a l a l u
అగ్రనేత	a g r a n ee t a
అగ్రవర్ణ	a g r a w a r nx a
అగ్రవర్ణాలకు	a g r a w a r nx aa l a k u
అగ్రస్థానంలో	a g r a s th aa n a q l oo
అగ్రహ	a g r a h a
అగ్రహస్తం	a g r a h a s t a q
అగ్రహారం	a g r a h aa r a q
అగ్రహోదాల్ని	a g r a h oo d aa l n i
అగ్రిగోల్డ్	a g r i g oo l dx
అఘాయిత్యానికి	a gh aa y i t y aa n i k i
అఘాయిత్యం	a gh aa y i t y a q
అఘోరా	a gh oo r aa
అఘోరాలు	a gh oo r aa l u
